id;title_type;primary_title;original_title;is_adult;start_year;end_year;run_time_minutes;genres
1;Loaf USB Outdoors;deposit;Nebraska Neck;true;61384;4197;93255;Savings Account Forward revolutionary
2;deposit;circuit salmon Concrete;invoice Direct real-time;false;83779;33547;24754;quantifying Specialist Innovative
3;Yemeni Rial Metal;New Mexico Keyboard;best-of-breed Communications;false;25231;70619;62184;revolutionize Montenegro New Zealand Dollar
4;Graphic Interface redefine;Berkshire;Orchestrator 1080p;true;77248;33536;19170;back-end
5;Polarised Motorway;Burkina Faso Borders Clothing;Face to face;false;84592;30809;15955;Unions Tuvalu
6;Principal synergistic Refined;Automotive;User-centric firewall Awesome;false;29619;9203;28326;Implementation
7;invoice indigo;contextually-based 24/365;Rustic Regional;true;71621;79771;54368;Metal integrated New Hampshire
8;Handcrafted Steel Towels Executive;transmitting;Direct deposit FTP;true;87689;11430;70499;middleware Sports
9;Pants Generic Concrete Computer;bypassing;Auto Loan Account intranet;true;29211;5888;62638;Human
10;Consultant approach;North Carolina web services Soap;Ameliorated regional copying;true;27373;60659;81339;port info-mediaries SCSI
