id;category;job;characters
1;parse index Gorgeous;Generic Plastic Pizza Bond Markets Units European Composite Unit (EURCO) copying;Cambridgeshire solid state Health
2;connecting;redundant mobile Producer;drive Fish
3;program extranet Oklahoma;Intelligent Cotton Bike one-to-one world-class;invoice withdrawal
4;turn-key;Investment Account Buckinghamshire;Automotive mint green
5;Marketing Assurance;Licensed plum indexing;XSS Investment Account Danish Krone
6;Port;Buckinghamshire Mississippi;revolutionize
7;Turkey Salad matrix;Rustic Soft Shirt Car Buckinghamshire;Port Chair
8;global microchip Sleek Metal Table;USB panel;Ball magnetic monetize
9;invoice;open architecture Planner Facilitator;Belize Liberia hacking
10;magenta;Israel alarm Marshall Islands;Credit Card Account Movies Awesome
